"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000116305.3",-4.80123462316263,1.21832548402969,60.1264634283786,1.56965674642116e-09,3.86452509539556e-09
"ENSMUSG00000037007.18",-1.97354603145961,3.8619526472596,60.4967201735498,1.58281337825902e-09,3.89598044223238e-09
"ENSMUSG00000035596.15",-1.25204832703923,5.38992364255387,60.4854261936795,1.58606051288953e-09,3.90209747129824e-09
"ENSMUSG00000021597.17",-1.8362977103792,3.96737947901858,60.3834198889384,1.61946236094947e-09,3.98044960423433e-09
"ENSMUSG00000038773.12",-1.29386402768624,5.42163368534275,60.2467515908647,1.66453581874753e-09,4.08517269494299e-09
"ENSMUSG00000104548.2",-5.05387084033526,0.904058829400396,59.103600363847,1.66486143611521e-09,4.08517269494299e-09
"ENSMUSG00000043987.19",-2.21296911484791,3.42953818508569,60.2442837363301,1.66612716852538e-09,4.08729927186514e-09
"ENSMUSG00000054934.11",-3.0754658618073,2.41086004459336,60.2520192239404,1.6673474926258e-09,4.08931346251758e-09
"ENSMUSG00000039842.16",-1.8630281264567,3.99341189294184,60.2100649696335,1.6772887751413e-09,4.11271047043265e-09
"ENSMUSG00000042744.17",-1.70242892435699,4.52629931786422,60.1410312363625,1.70071987525857e-09,4.16717056516706e-09
"ENSMUSG00000022637.12",-1.39601333113317,5.4414335193083,60.029222113402,1.73961309938537e-09,4.25941127513865e-09
"ENSMUSG00000108526.2",-4.81971344091242,0.942009861791496,58.8623108869217,1.87709208246354e-09,4.58506489591977e-09
"ENSMUSG00000096977.3",-4.33652776854273,1.17928042056442,59.3080215709131,1.94407764578145e-09,4.74529152719105e-09
"ENSMUSG00000026944.19",-1.15522591685724,5.77491977332437,59.4334342606924,1.96402375919367e-09,4.79055283202229e-09
"ENSMUSG00000024065.9",-0.671854591085898,7.7254082157494,59.4279342048472,1.96617139075142e-09,4.79350806571674e-09
"ENSMUSG00000097855.10",-3.99043750239716,1.36031837512962,59.4304433532108,1.96767495206007e-09,4.79603209400268e-09
"ENSMUSG00000106617.2",-3.63413540541996,1.63904798451767,59.4624070718176,1.9772369850266e-09,4.81819205344812e-09
"ENSMUSG00000058706.6",-1.36556468719726,5.0254836486567,59.235346295182,2.04531720162924e-09,4.98172146946177e-09
"ENSMUSG00000090100.8",-4.14513540156043,1.27460868799972,59.1500914606729,2.05702662923211e-09,5.00905057931414e-09
"ENSMUSG00000027326.14",-3.22038093199021,1.95248479525417,59.2255466205233,2.06536105710838e-09,5.02815021319326e-09
"ENSMUSG00000037062.14",-0.767978899830614,7.07534062687419,59.1313549674384,2.08919354613557e-09,5.0825463894348e-09
"ENSMUSG00000106115.2",-6.06882585957265,0.743650617571562,56.9364270064514,2.12514348552363e-09,5.16387178617627e-09
"ENSMUSG00000026385.17",-1.16292252222041,5.68464036705545,58.9731933214136,2.15816243661795e-09,5.2428604544215e-09
"ENSMUSG00000018339.13",-4.81855883288979,0.942873471955631,58.094206222208,2.20504497368474e-09,5.35294397261889e-09
"ENSMUSG00000034574.11",-3.49251205679134,1.73151009385436,58.8802838191515,2.22589744877075e-09,5.40228475599763e-09
"ENSMUSG00000085133.3",-4.08865605198184,1.2404456356519,58.5252644395492,2.34027579409731e-09,5.67181842951837e-09
