"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000023806.11",7.08745122231854,2.3144176824577,15.4095685751981,0.000351942912301539,0.000529698649197996
"ENSMUSG00000020287.16",2.10577424122262,3.80203383978383,15.2089671392214,0.000355639220749032,0.000535104583357071
"ENSMUSG00000033318.8",1.14390280994094,4.71915687468213,15.2218219391313,0.000357491150054156,0.000537733053143584
"ENSMUSG00000027999.16",1.80800778349874,3.86421482111152,15.1598727719054,0.000364863138919255,0.000548499672510056
"ENSMUSG00000022434.9",1.47382691469786,4.50912769093184,15.1402453971635,0.000369190681769859,0.000554760998046787
"ENSMUSG00000016940.19",0.652448317563099,6.33365948014718,15.0987127046427,0.000374472004586602,0.000562531867259603
"ENSMUSG00000027610.18",1.10408948618918,4.78664514209582,15.0690287190875,0.000378996126046082,0.00056916104442287
"ENSMUSG00000032333.7",1.02309781539771,4.98400269867253,15.0517865427222,0.000381408144539977,0.000572615393781655
"ENSMUSG00000030019.7",1.23602312314435,4.57119513427255,15.040553450265,0.000383382847269603,0.000575495694230583
"ENSMUSG00000037805.16",0.728852774950617,5.84308335296253,14.9901642214439,0.000390430649472796,0.000585817566935303
"ENSMUSG00000066152.12",1.29894222918843,4.49560607619423,14.9720179615068,0.00039372045853907,0.000590580687808606
"ENSMUSG00000051329.14",1.19745601696467,4.71544601386307,14.9601590703329,0.000395287514507882,0.000592844446271741
"ENSMUSG00000042870.16",7.05334743761951,2.28327830863171,15.0851697755429,0.000397732897778741,0.000596424647005837
"ENSMUSG00000032478.15",2.20419099627276,3.43580737417548,14.8628022071114,0.000400381908579267,0.000600309106670891
"ENSMUSG00000075467.5",1.00106895378943,5.04576059749309,14.9085477729666,0.000402994150519321,0.000604137308199486
